fixture_idx,gw,home,away,actual_result,correct_in_5_base_experts,correct_in_all_tournament_models,provenance_category,valid_for_true_5_expert_oracle
340,15,Brentford,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
341,15,Newcastle United,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
342,15,Wolverhampton Wanderers,Sunderland,1,NONE,NONE,None,False
343,15,Arsenal,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
344,15,Aston Villa,Tottenham,2,NONE,NONE,None,False
345,15,Manchester United,Liverpool,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
346,15,Bournemouth,Crystal Palace,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
347,15,Chelsea,Nottingham Forest,2,NONE,NONE,None,False
348,15,Everton,Manchester City,1,NONE,NONE,None,False
349,15,Liverpool,Chelsea,1,NONE,NONE,None,False
350,15,Brighton and Hove Albion,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
351,15,Fulham,Bournemouth,2,NONE,NONE,None,False
352,15,Sunderland,Manchester United,1,NONE,NONE,None,False
353,15,Manchester City,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
354,15,Nottingham Forest,Newcastle United,1,NONE,NONE,None,False
355,15,Burnley,Aston Villa,1,NONE,NONE,None,False
356,15,Crystal Palace,Everton,1,NONE,NONE,None,False
357,15,West Ham United,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
358,15,Tottenham,Leeds United,1,NONE,NONE,None,False
359,15,Manchester City,Crystal Palace,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
360,15,Aston Villa,Liverpool,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
361,15,Manchester United,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
362,15,Brentford,Crystal Palace,1,NONE,NONE,None,False
363,15,Everton,Sunderland,2,NONE,NONE,None,False
364,15,Leeds United,Brighton and Hove Albion,0,"F2, Availability, Tactical_T7, Context_D7","F2, M1-D, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
365,15,Wolverhampton Wanderers,Fulham,1,NONE,NONE,None,False
366,15,Newcastle United,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
367,15,Arsenal,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
368,15,Chelsea,Tottenham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
369,15,Bournemouth,Manchester City,1,NONE,NONE,None,False
370,15,Nottingham Forest,Bournemouth,1,NONE,NONE,None,False
371,15,Manchester City,Aston Villa,2,NONE,NONE,None,False
372,15,Sunderland,Chelsea,0,Availability,Availability,5_Base_Experts,True
373,15,Liverpool,Brentford,1,NONE,NONE,None,False
374,15,Tottenham,Everton,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
375,15,Crystal Palace,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
376,15,Burnley,Wolverhampton Wanderers,1,NONE,NONE,None,False
377,15,Brighton and Hove Albion,Manchester United,2,NONE,NONE,None,False
378,15,Fulham,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
379,15,West Ham United,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
